subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,7/17/2020,1/9/2019,1/12/2019,HarrisX,C,3000,rv,.01966016,0,44,37,48.910864,41.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57313,92675,1/15/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/10/2019,1/13/2019,HarrisX,C,3000,rv,.0193303,0,43,37,47.910864,41.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57314,92676,1/15/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/11/2019,1/14/2019,HarrisX,C,3003,rv,.01903796,0,43,36,47.910864,40.819588,"",T,https://scottrasmussen.com/generic-ballot-daily/,57306,92669,1/15/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/12/2019,1/15/2019,HarrisX,C,3002,rv,.01873339,0,44,35,48.910864,39.819588,"",T,https://scottrasmussen.com/generic-ballot-daily/,57317,92706,1/16/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/11/2019,1/18/2019,HarrisX,C,7008,rv,.08613473,0,43,36,47.910864,40.819588,"",T,https://scottrasmussen.com/weekly-generic-ballot/,57353,92751,1/19/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/13/2019,1/16/2019,HarrisX,C,3002,rv,.01844866,0,44,35,48.910864,39.819588,"",T,https://scottrasmussen.com/generic-ballot-daily/,57332,92722,1/17/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/15/2019,1/15/2019,Winston Group,B/C,1000,rv,.58976128,0,48,42,47.821674,42.274141,"","",https://www.winningtheissues.org/wp-content/uploads/2019/03/Winning-the-Issues-January-2019-Survey.pdf,66582,124116,5/29/2020,18:00:11 17 Jul 2020
All polls,7/17/2020,1/14/2019,1/17/2019,HarrisX,C,3004,rv,0,0,43,36,47.910864,40.819588,"",T,https://scottrasmussen.com/generic-ballot-daily/,57335,92728,1/18/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/15/2019,1/18/2019,HarrisX,C,3005,rv,.01798538,0,43,36,47.910864,40.819588,"",T,https://scottrasmussen.com/generic-ballot-daily/,57352,92750,1/19/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/16/2019,1/19/2019,HarrisX,C,3000,rv,.01772577,0,43,36,47.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57358,92759,1/21/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/17/2019,1/20/2019,HarrisX,C,3000,rv,.01749381,0,43,35,47.910864,39.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57359,92760,1/21/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/18/2019,1/21/2019,HarrisX,C,3002,rv,.01728501,0,41,35,45.910864,39.819588,"",T,https://scottrasmussen.com/generic-ballot-daily/,57360,92768,1/22/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/18/2019,1/22/2019,Morning Consult,B/C,1996,rv,.56734217,0,43,38,45.673395,40.53839,"","",https://morningconsult.com/wp-content/uploads/2019/01/190140_crosstabs_POLITICO_RVs_v1_AP-3.pdf,57380,92825,1/23/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/19/2019,1/22/2019,HarrisX,C,3003,rv,.0170781,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSDRXY3XbUZxutA66SmfIajPn7Gvh4IpsT0ZBZCDmFS2go2qejcqsABcPPcsdCT2Vcdix1amarp711G/pubhtml/sheet?headers=false&gid=0,57375,92824,1/23/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/20/2019,1/21/2019,Emerson College,A-,942,rv,1.2896354,0,52.4,47.6,50.017817,45.036563,"","",https://www.emerson.edu/news-events/emerson-college-today/voters-split-trumps-offer-temporary-relief-dreamers-oppose-amnesty-warren-leads-among-announced-2020-democratic-candidates,57374,92812,1/22/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/18/2019,1/25/2019,HarrisX,C,7010,rv,.07877808,0,42,35,46.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTpMrUUby_9VCkRaYtsUEUJlc2AT5WK5NhNC2RIyOZA4GIhlaCTiTAcwQwWx-gR8jZFrgTfKNBBhneZ/pubhtml/sheet?headers=false&gid=0,57400,92862,1/26/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/20/2019,1/23/2019,HarrisX,C,3006,rv,.01689065,0,42,35,46.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSeJA8prfzn7Nvrc2KFUkphNaIVqVqFJoYBP8SR5GCnczDZLncr4KiBPmpAEvD4dN8o0B6H9PBjg2lN/pubhtml/sheet?headers=false&gid=0,57387,92844,1/24/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/21/2019,1/24/2019,HarrisX,C,3008,rv,0,0,43,35,47.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2f8YU2dGqtORHvNLYcZilN-NBcT4V46cOq6uvXEYNIFBSmR2vtBpGdlVOI2T8J4uu7xgqMhp8AcjO/pubhtml/sheet?headers=false&gid=0,57393,92850,1/25/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/22/2019,1/25/2019,HarrisX,C,3007,rv,.01655302,0,43,35,47.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vT3nB1G6A3sJIrBJisGOrV26afSxxv_7dIrVlnwCnM5aoZyQ9adAo6C0J4QfgLSGIa1B4afpTChRev0/pubhtml/sheet?headers=false&gid=0,57397,92861,1/26/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/23/2019,1/26/2019,HarrisX,C,3000,rv,.01634943,0,42,36,46.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57411,92885,1/28/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/24/2019,1/27/2019,HarrisX,C,3000,rv,.01618076,0,41,36,45.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57412,92886,1/28/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/25/2019,1/28/2019,HarrisX,C,3003,rv,.01603617,0,43,36,47.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTZE7Q9-vVl1RktqUBbqq6fRiGOT0enFHZUoJ2s2kchWiY8GfbSD33YOw35h2TJqGo8HCmTcK-IfZKs/pubhtml/sheet?headers=false&gid=0,57413,92897,1/29/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/26/2019,1/29/2019,HarrisX,C,3003,rv,.0158811,0,43,36,47.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKFtv9BPbFjJJv2pkJdeW8RKZoYO1cPuJaEvU3eLWBiWKkeL9wP3rGKhtqbP507PWeHHeJxvo0AENi/pubhtml/sheet?headers=false&gid=0,57426,92934,1/30/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/25/2019,2/1/2019,HarrisX,C,7007,rv,.07341366,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTsawiD5yMtfsng11UefD0hcB2-lrj95ezdAZ98mOVkt4xPKeFEYwgd0JLEY35PUIdaqTIj5yfGnadP/pubhtml/sheet?headers=false&gid=0,57443,92969,2/2/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/27/2019,1/30/2019,HarrisX,C,3001,rv,.01572102,0,43,36,47.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRZT0xB7_XW9cJu3bV5hV0GnOeAjV2d8bIe62HXg2SpVPdBDdtX2NABirxcmgH6IfbkaXHLc2L0dlzl/pubhtml/sheet?headers=false&gid=0,57433,92946,1/31/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/28/2019,1/31/2019,HarrisX,C,3004,rv,0,0,41,36,45.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQm_ND88vhcB6a31PV4gL2JesCG8LLKKQ0UaACQfH_KHfvme6RtHwT2k1vxo8Mtjqjosd9QxG11Fv7k/pubhtml/sheet?headers=false&gid=0,57437,92951,2/1/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/29/2019,2/1/2019,HarrisX,C,3004,rv,.01549024,0,41,36,45.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRNGtyrWqT7pJOw5G-QgoNLISYUeBixVMO7cg5Wj3jYXLYHyyU2YFGiYcknMEpjBeTpizDu8YZY6OYP/pubhtml/sheet?headers=false&gid=0,57441,92968,2/2/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/30/2019,2/2/2019,HarrisX,C,3000,rv,.01535022,0,42,36,46.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57452,92996,2/4/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,1/31/2019,2/3/2019,HarrisX,C,3000,rv,.01522658,0,43,36,47.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57453,92997,2/4/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/1/2019,2/4/2019,HarrisX,C,3004,rv,.01512909,0,42,35,46.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRfZmqr1ff1N4klmGd467lSKNAWlT0bsiGv7OveZeJu4ZrrRoC5W0TTaQvFk2g8akMGr4xJujbGJUhC/pubhtml/sheet?headers=false&gid=0,57454,93001,2/5/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/2/2019,2/5/2019,HarrisX,C,3004,rv,.01501471,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQO6aK3ivLd-BvS9knGnGqSUbZbnvhEphoJXSEdsNhPqWQsJkKz5eycQgxpV0M1b6XKsfiDq6Aa8wVm/pubhtml/sheet?headers=false&gid=0,57463,93034,2/6/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/1/2019,2/8/2019,HarrisX,C,7008,rv,.06954053,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQzaZ8pb2Lsd33TrW61Zx65xx3aqcBV7quqlpvchQdM-kH3dRTee286wHoTfeZjagowAx9nBe1I6Cp8/pubhtml/sheet?headers=false&gid=0,57483,93070,2/9/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/3/2019,2/6/2019,HarrisX,C,3002,rv,.01489445,0,42,37,46.910864,41.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQlSvWzVWIWw9Ke0levh9Frh33odY3Jc2g_KELNI_eI8MY4Q-J_3M1uIlvmonvGusyWOIcZwgrqwH5W/pubhtml/sheet?headers=false&gid=0,57469,93048,2/7/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/4/2019,2/7/2019,HarrisX,C,3002,rv,0,0,43,36,47.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQMzkDP2MVmaWQbpQvly4JtIJR_HPb-DqPCkZyRD6aQ0bNi_2STF1wGdx8KMGoD32FObj7xxvyLBech/pubhtml/sheet?headers=false&gid=0,57477,93062,2/8/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/5/2019,2/8/2019,HarrisX,C,3003,rv,.01472385,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQpW7T0t4WNBXzAo_WgNd26LtPL3hR5GZUvBoSljGO2yGNGUb-lpkO8G6whb33YWJPhztugiTsHEwbb/pubhtml/sheet?headers=false&gid=0,57481,93069,2/9/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/6/2019,2/9/2019,HarrisX,C,3000,rv,.01462376,0,42,35,46.910864,39.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57489,93080,2/11/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/6/2019,2/10/2019,McLaughlin & Associates,C/D,1000,lv,.56390974,0,46,45,47.01685,42.001568,"","",http://mclaughlinonline.com/pols/wp-content/uploads/2019/02/National-Monthly-Omnibus-February-1.pdf,57527,93157,2/15/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/7/2019,2/10/2019,HarrisX,C,3000,rv,.0145415,0,41,36,45.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57490,93081,2/11/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/8/2019,2/11/2019,HarrisX,C,3004,rv,.01448149,0,41,37,45.910864,41.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vS3NKBhHy54vD5lKRFHAx3BpyadMvot49AWcQBa2OdxJaN0YLyyfFPIjREh4305-ANnX-Q9VKFY1qiM/pubhtml/sheet?headers=false&gid=0,57491,93086,2/12/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/9/2019,2/12/2019,HarrisX,C,3004,rv,.01440487,0,42,37,46.910864,41.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vR7d8icvsrAwonx9H1_i0CRpg2pG7jvyUu7FuLtbJwFdqiTWHcxOPMhvEVoAJvTC-85loCM6dglTvLq/pubhtml/sheet?headers=false&gid=0,57501,93102,2/13/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/10/2019,2/13/2019,HarrisX,C,3005,rv,.01433619,0,41,37,45.910864,41.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRtomaTan7Oci17ch1pHzQ8g81VHPnQW2U92gG3oca92hAEuXoUGzBQknH8BSp7JWP1GSE_ONthooBN/pubhtml/sheet?headers=false&gid=0,57514,93143,2/14/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/8/2019,2/15/2019,HarrisX,C,7010,rv,.06688631,0,41,36,45.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSQDmj1wh-0JI_B4Qwkx4bEb6UPXILxm1Vvkzqx22x0lW1nWe5-rUpOWg4UWq1MDLDez3ItAHRXVC79/pubhtml/sheet?headers=false&gid=0,57530,93167,2/16/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/11/2019,2/14/2019,HarrisX,C,3006,rv,0,0,41,36,45.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTSzZrr0AWT95ucgUNu0phMSgjc6uhvdEbT20Ys7BXwtLqTsf32qMyUtQxtF5t7DfdPMIuXS3f4l36Y/pubhtml/sheet?headers=false&gid=0,57524,93154,2/15/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/12/2019,2/15/2019,HarrisX,C,3006,rv,.01423447,0,41,36,45.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ86WhANLOtWCmtsToIahsuxPiNxVE2oDR3Hci0OmbP9wy1Buigbccpb3OlASW2UdFKUtLjFUg7kuW0/pubhtml/sheet?headers=false&gid=0,57529,93166,2/16/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/14/2019,2/16/2019,Emerson College,A-,1000,rv,1.3632532,0,52.9,47.1,50.517817,44.536563,"","",http://emersonpolling.com/2019/02/16/majority-of-americans-disagree-with-trumps-national-emergency-despite-a-plurality-agreeing-with-border-wall-extension/,57532,93169,2/16/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/13/2019,2/16/2019,HarrisX,C,3000,rv,.01415444,0,42,37,46.910864,41.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57536,93192,2/19/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/14/2019,2/17/2019,HarrisX,C,3000,rv,.01410536,0,42,36,46.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57537,93193,2/19/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/15/2019,2/18/2019,HarrisX,C,3002,rv,.01406814,0,43,35,47.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQM5Qz9rWTS2Baxvvr1Pic87DIvaKLCOIXlFRZibUwDU0NxoU_4_PYjZw0sWLrS7s_DZxgYgOcgsr2l/pubhtml/sheet?headers=false&gid=0,57538,93194,2/19/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/16/2019,2/19/2019,HarrisX,C,3005,rv,.01403748,0,43,35,47.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSKj8XLcW_4zeA-h5H4uPS9dL8_TZOeBwqoBd6ufGYTA8X9wr2mtrIQw7jp6ly70OLAxfP-0gByvAax/pubhtml/sheet?headers=false&gid=0,57545,93235,2/20/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/16/2019,2/20/2019,Public Opinion Strategies,B+,800,rv,1.2331723,0,46,44,46.441778,43.083686,"","",https://pos.org/wp-content/uploads/2019/02/National-POS-Poll.pdf,57568,93268,2/22/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/15/2019,2/22/2019,HarrisX,C,7010,rv,.06529602,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSN_KjobuS8ULe6-MbShzZri54trneToZwYRoWIU9NnpbOnqjf6FVzAn4iD5jXHtPGcH084C-DeNov4/pubhtml/sheet?headers=false&gid=0,57572,93277,2/23/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/17/2019,2/20/2019,HarrisX,C,3006,rv,.01399999,0,43,35,47.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTpbpdt96UEQmBKkMzwSaOkK8haBETlZELcQ5ceMzuZ4z0HH1KO0L3xAaOCWsz8D0DyEvpPQqBKuB13/pubhtml/sheet?headers=false&gid=0,57560,93251,2/21/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/18/2019,2/21/2019,HarrisX,C,3007,rv,0,0,43,35,47.910864,39.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSXaTtQWGKaQj0TRIW8zBdF4ZZNZI-aRCivagjlGAiTfCNbjr6gzJbHdQDAFMb8rbwGRhQu9-xz8txh/pubhtml/sheet?headers=false&gid=0,57565,93265,2/22/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/19/2019,2/22/2019,HarrisX,C,3005,rv,.01394999,0,42,37,46.910864,41.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRIgtFTwh-74ZM8_O38603ae3WhlqGlNOY8EI0eaIhr4ibFfYherSaPvOPtzMGn_GtO2eRf4dy_UOOj/pubhtml/sheet?headers=false&gid=0,57570,93276,2/23/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/20/2019,2/23/2019,HarrisX,C,3000,rv,.0139055,0,42,38,46.910864,42.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57584,93304,2/26/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/22/2019,2/24/2019,Morning Consult,B/C,1994,rv,.3529864,0,42,36,44.673395,38.53839,"","",https://morningconsult.com/wp-content/uploads/2019/02/190245_crosstabs_POLITICO_RVs_v1_ML.pdf,57593,93336,2/26/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/21/2019,2/24/2019,HarrisX,C,3000,rv,.0138791,0,42,37,46.910864,41.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57585,93305,2/26/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/22/2019,2/23/2019,D-CYFOR,"",1000,rv,1.1825671,0,46,39,46.414062,39.909362,"","",https://projects.fivethirtyeight.com/polls/20190301_US.pdf,57608,93385,3/1/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/22/2019,2/25/2019,HarrisX,C,3003,rv,.01386837,0,43,36,47.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRgWxIxtfjAhHL26HCNq-nefl23zskZHovonvBMTYl6swKSGb--nipO25Suq32olCqEd9nTMce7vI4u/pubhtml/sheet?headers=false&gid=0,57578,93296,2/26/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/23/2019,2/26/2019,HarrisX,C,3004,rv,.01384808,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vS1M1FIicEmim7i1sqDJvBoWz6M8t_ZEIS1OtzJtZKKPb7YCIk4O9vGbjrEToD267KYUIWl4TwYrX0R/pubhtml/sheet?headers=false&gid=0,57592,93356,2/27/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/22/2019,3/1/2019,HarrisX,C,7010,rv,.06451563,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRDwRR2k1PUpI-uAP9X3KndtnfiMtIxJnaFQWM-5_UHB9buV6O17oO9Gnzpas9Wqi-cZniYnvucWqAP/pubhtml/sheet?headers=false&gid=0,57610,93397,3/2/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/24/2019,2/27/2019,HarrisX,C,3003,rv,.01381886,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ3QLm40sOkN5JFK0G1Mfaihr6vF0P93ca_WBv4OHBKccdz6TByUchJ4z6wR9H_pG8FUb0TSY3FL3V0/pubhtml/sheet?headers=false&gid=0,57598,93368,2/28/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/25/2019,2/28/2019,HarrisX,C,3006,rv,0,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_lfxq47ON3pe7lXRYcm0YGW0BEi24b2DSUmfHOg9SuWFVNtS2Ope_VwlzexqaKjtEsO_8QuXoiXx1/pubhtml/sheet?headers=false&gid=0,57604,93382,3/1/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/26/2019,3/1/2019,HarrisX,C,3006,rv,.01381599,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSqSSE59zSl22NS94tYH8pq3HYxtI8IgICzCIPFBGxpXN-ED5etlqQPb9wxD8PQjaw3n1j_DQyRe70H/pubhtml/sheet?headers=false&gid=0,57609,93396,3/2/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/28/2019,3/1/2019,Winston Group,B/C,1000,rv,.5834897,0,47,40,46.821674,40.274141,"","",https://www.winningtheissues.org/wp-content/uploads/2019/03/Winning-the-Issues-February-2019-Survey.pdf,66583,124117,5/29/2020,18:00:11 17 Jul 2020
All polls,7/17/2020,2/27/2019,3/2/2019,HarrisX,C,3000,rv,.01377812,0,42,36,46.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57619,93419,3/4/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,2/28/2019,3/3/2019,HarrisX,C,3000,rv,.01376025,0,42,36,46.910864,40.819588,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57620,93420,3/4/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,3/1/2019,3/4/2019,HarrisX,C,3007,rv,.0137684,0,42,36,46.910864,40.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmWEzHx3GI4v7cXDaSma_f9HNDzU7kHV6zz48mv-q1LF-8W6LiGa4dDsd3krtxY3JFQIx4M3tna4K6/pubhtml/sheet?headers=false&gid=0,57621,93427,3/5/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,3/2/2019,3/5/2019,HarrisX,C,3006,rv,.01374168,0,41,37,45.910864,41.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTNgYc5wIUlX6jnkviDx3mlP69CPnII4WqpSrxgW5LGacToD9MhHVu5syKUH2agIN6PJYZ9C0aVqCJX/pubhtml/sheet?headers=false&gid=0,57634,93469,3/6/2019,18:00:11 17 Jul 2020
All polls,7/17/2020,3/1/2019,3/8/2019,HarrisX,C,7013,rv,.06401867,0,42,37,46.910864,41.819588,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRYtUhn_lP8U_FX1cOAu4QnNYXafR7s3dD52zh8c33iQtru3fqCVxXZazDOBldR3DRO-aH0sLzUVX_1/pubhtml/sheet?headers=false&gid=0,57653,93499,3/9/2019,18:00:11 17 Jul 2020
